input_dim,Accuracy,Unfairness,lambda_reg,seed
12288,0.9007631578947368,0.1251701437385431,0.05,3
12288,0.9034210526315788,0.1404460992057868,0.0,3
12288,0.898921052631579,0.1290152912500146,0.15,3
12288,0.8950526315789473,0.1239155879859718,0.1,3
12288,0.8992368421052631,0.1308346898726719,0.25,3
12288,0.9028157894736842,0.1222880081797039,0.2,3
12288,0.902921052631579,0.1336989632364957,0.35,3
12288,0.9031052631578949,0.1337696222311289,0.3,3
12288,0.9003157894736842,0.137248887576611,0.45,3
12288,0.9001578947368422,0.1396539234359435,0.4,3
12288,0.4798157894736842,0.0,0.5,3
