lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.0,0.0,1000,190000,9,0.6665,0.1017440019250416,,,
0.0,1.0,1000,190000,9,0.6665,0.10166354064876429,,,
0.0,2.0,1000,190000,9,0.666,0.10186883316913334,,,
0.0,3.0,1000,190000,9,0.6665,0.10158795482975583,,,
0.0,4.0,1000,190000,9,0.666,0.10166438088871793,,,
0.0,5.0,1000,190000,9,0.6665,0.1016600340920715,,,
0.25,0.0,1000,190000,9,0.657,0.06478663876471091,,,
0.25,1.0,1000,190000,9,0.6615,0.0767923846831951,,,
0.25,2.0,1000,190000,9,0.6585,0.07203211093324802,,,
0.25,3.0,1000,190000,9,0.662,0.07044398308527741,,,
0.25,4.0,1000,190000,9,0.66,0.07498840447846691,,,
0.25,5.0,1000,190000,9,0.661,0.07594773660196785,,,
0.5,0.0,1000,190000,9,0.627,0.029200809741370293,,,
0.5,1.0,1000,190000,9,0.6375,0.04256945070208443,,,
0.5,2.0,1000,190000,9,0.62,0.03176560075911217,,,
0.5,3.0,1000,190000,9,0.6405,0.038581942555839105,,,
0.5,4.0,1000,190000,9,0.623,0.037383576701680826,,,
0.5,5.0,1000,190000,9,0.6285,0.04070261821247087,,,
0.75,0.0,1000,190000,9,0.5765,0.01587557348268953,,,
0.75,1.0,1000,190000,9,0.577,0.011266673006854883,,,
0.75,2.0,1000,190000,9,0.569,0.008004591347496398,,,
1.0,0.0,1000,190000,9,0.549,0.0004145077844071865,,,
1.0,1.0,1000,190000,9,0.549,0.0007287602074494692,,,
1.0,2.0,1000,190000,9,0.549,0.0006564416192280931,,,
1.25,3.0,1000,190000,9,0.549,0.0003628263952928923,,,
1.25,4.0,1000,190000,9,0.549,0.00028507179173825614,,,
1.25,5.0,1000,190000,9,0.549,0.00040631236440044627,,,
1.5,0.0,1000,190000,9,0.549,0.00037812426613528793,,,
1.5,1.0,1000,190000,9,0.549,0.00016428805105977995,,,
1.5,2.0,1000,190000,9,0.549,8.950885480113469e-06,,,
1.5,3.0,1000,190000,9,0.549,2.5566041853941623e-05,,,
1.5,4.0,1000,190000,9,0.549,0.00018879052851450417,,,
1.5,5.0,1000,190000,9,0.549,7.892533631811971e-05,,,
1.75,0.0,1000,190000,9,0.549,1.1957677273743972e-05,,,
1.75,1.0,1000,190000,9,0.549,8.047768682389878e-05,,,
1.75,2.0,1000,190000,9,0.549,6.984667405565692e-05,,,
1.75,3.0,1000,190000,9,0.549,8.021616674205867e-05,,,
1.75,4.0,1000,190000,9,0.549,0.00011505668546207826,,,
1.75,5.0,1000,190000,9,0.549,9.357379907598551e-05,,,
2.0,3.0,1000,190000,9,0.549,1.6007276696178296e-05,,,
2.0,4.0,1000,190000,9,0.549,5.472070150197572e-05,,,
2.0,5.0,1000,190000,9,0.549,2.406110163982733e-05,,,
2.25,0.0,1000,190000,9,0.549,3.85083063261793e-05,,,
2.25,1.0,1000,190000,9,0.549,2.2087506664270062e-05,,,
2.25,2.0,1000,190000,9,0.549,1.1392411841365524e-05,,,
2.5,0.0,1000,190000,9,0.549,2.7406395284784724e-05,,,
2.5,1.0,1000,190000,9,0.549,6.339815374856173e-05,,,
2.5,2.0,1000,190000,9,0.549,3.812483042167636e-05,,,
2.5,3.0,1000,190000,9,0.549,3.6577374378510275e-06,,,
2.5,4.0,1000,190000,9,0.549,0.00012190947032741928,,,
2.5,5.0,1000,190000,9,0.549,3.714891089362515e-05,,,
2.75,0.0,1000,190000,9,0.549,2.948165700911165e-05,,,
2.75,1.0,1000,190000,9,0.549,2.159833826617663e-05,,,
2.75,2.0,1000,190000,9,0.549,1.630163050361788e-05,,,
2.75,3.0,1000,190000,9,0.549,1.2027238729617196e-05,,,
2.75,4.0,1000,190000,9,0.549,2.4200360982690183e-05,,,
2.75,5.0,1000,190000,9,0.549,4.8153854968535637e-05,,,
3.0,0.0,1000,190000,9,0.549,6.867029405863145e-05,,,
3.0,1.0,1000,190000,9,0.549,3.595881374360288e-05,,,
3.0,2.0,1000,190000,9,0.549,2.3492235475458534e-05,,,
3.0,3.0,1000,190000,9,0.549,3.716900907121956e-05,,,
3.0,4.0,1000,190000,9,0.549,5.9864353039174034e-05,,,
3.0,5.0,1000,190000,9,0.549,4.3642954238920506e-05,,,
3.25,0.0,1000,190000,9,0.549,2.9264802081346852e-05,,,
3.25,1.0,1000,190000,9,0.549,1.8002919134452178e-05,,,
3.25,2.0,1000,190000,9,0.549,2.1351284119452973e-05,,,
3.25,3.0,1000,190000,9,0.549,3.8401732114057285e-05,,,
3.25,4.0,1000,190000,9,0.549,2.457662509408598e-05,,,
3.25,5.0,1000,190000,9,0.549,1.5073500327839051e-05,,,
3.5,0.0,1000,190000,9,0.549,9.980685762639441e-05,,,
3.5,1.0,1000,190000,9,0.549,4.017430243810627e-05,,,
3.5,2.0,1000,190000,9,0.549,3.111516386516966e-05,,,
3.75,0.0,1000,190000,9,0.549,4.5798336111568805e-05,,,
3.75,1.0,1000,190000,9,0.549,1.5848540280333223e-05,,,
3.75,2.0,1000,190000,9,0.549,1.238037006376369e-05,,,
3.75,3.0,1000,190000,9,0.549,3.3824431420470535e-05,,,
3.75,4.0,1000,190000,9,0.549,4.8517737088332735e-05,,,
3.75,5.0,1000,190000,9,0.549,3.307722665982227e-05,,,
4.0,0.0,1000,190000,9,0.549,7.489416730721565e-05,,,
4.0,1.0,1000,190000,9,0.549,8.2438279638275e-06,,,
4.0,2.0,1000,190000,9,0.549,3.861368464808113e-06,,,
4.0,3.0,1000,190000,9,0.549,1.117768436137423e-05,,,
4.0,4.0,1000,190000,9,0.549,5.3235173162829996e-05,,,
4.0,5.0,1000,190000,9,0.549,6.684839440321277e-05,,,
4.25,0.0,1000,190000,9,0.549,0.00010120003224531327,,,
4.25,1.0,1000,190000,9,0.549,2.235898078020715e-05,,,
4.25,2.0,1000,190000,9,0.549,1.959338782936415e-05,,,
4.25,3.0,1000,190000,9,0.549,6.310326944303224e-05,,,
4.25,4.0,1000,190000,9,0.549,5.894356222072017e-05,,,
4.25,5.0,1000,190000,9,0.549,5.2098582050713604e-05,,,
4.5,3.0,1000,190000,9,0.549,6.619404612701052e-05,,,
4.5,4.0,1000,190000,9,0.549,3.532665700609061e-05,,,
4.5,5.0,1000,190000,9,0.549,2.9117044248239132e-05,,,
4.75,1.0,1000,190000,9,0.549,1.826379089617247e-05,,,
4.75,2.0,1000,190000,9,0.549,3.899390766634592e-05,,,
4.75,3.0,1000,190000,9,0.549,2.476699921380443e-05,,,
4.75,4.0,1000,190000,9,0.549,7.385475489410376e-05,,,
4.75,5.0,1000,190000,9,0.549,1.3368168080674092e-05,,,
5.0,0.0,1000,190000,9,0.549,2.513117986743807e-05,,,
5.0,1.0,1000,190000,9,0.549,1.8558138586005635e-05,,,
5.0,2.0,1000,190000,9,0.549,7.271655524909715e-05,,,
5.0,3.0,1000,190000,9,0.549,1.2686532544409213e-05,,,
5.0,4.0,1000,190000,9,0.549,3.582613672173385e-05,,,
5.0,5.0,1000,190000,9,0.549,7.66493493958853e-06,,,
